id,title,year,vote,date
266042,วิมานหนาม,2024,4,2024-08-27
246022,The Substance,2024,8,2025-03-13
208851,The Hunger Games: The Ballad of Songbirds and Snakes,2023,6,2024-08-29
208847,Poor Things,2023,5,2024-07-14
217884,นะหน้าทอง,2023,3,2023-09-14
203664,Blue Beetle,2023,7,2023-09-14
208287,Oppenheimer,2023,7,2023-09-14
217890,Stand or Fall Episode 1,2023,2,2023-09-15
217891,Stand or Fall Episode 2,2023,2,2023-09-15
217892,Stand or Fall Episode 3,2023,2,2023-09-15
198538,John Wick: Chapter 4,2023,7,2023-09-14
266123,เธอกับฉันกับฉัน,2023,8,2024-08-29
198023,Plane,2023,7,2023-09-14
194693,M3GAN,2022,8,2023-09-14
31510,Avatar: The Way of Water,2022,8,2023-09-14
217354,"Alice, Darling",2022,5,2024-08-29
190212,The Fabelmans,2022,8,2023-09-14
266046,憂鬱之島,2022,9,2024-08-27
266045,時代革命,2021,8,2024-08-27
266044,Cockroach,2020,6,2024-08-27
266041,幻愛,2019,7,2024-08-27
266043,陽台上,2019,7,2024-08-27
266122,แสงกระสือ,2019,7,2024-08-29
266128,兄チャンと妹の涙,1993,6,2024-08-29
266127,弟を舍てるのか！,1993,6,2024-08-29
266126,苦い再会,1993,6,2024-08-29
653,Nosferatu,1922,9,2025-03-14
